Food_code,Seq_num,Additional_food_description,Start_date,End_date
11480010,1,"YoBaby Original, all flavors",2017-01-01,2018-12-31
11480020,1,"YoBaby Plus Fruit & Cereal, NFS",2017-01-01,2018-12-31
11480030,1,YoBaby Plus Fruit & Cereal with iron,2017-01-01,2018-12-31
11480040,1,YoBaby Plus Fruit & Cereal with DHA,2017-01-01,2018-12-31
11511000,1,NS as to milk or drink,2017-01-01,2018-12-31
11511200,4,2% fat,2017-01-01,2018-12-31
11511300,1,nonfat milk,2017-01-01,2018-12-31
11511300,2,skim,2017-01-01,2018-12-31
11511400,3,Hershey's Chocolate milk,2017-01-01,2018-12-31
11511400,4,1% fat,2017-01-01,2018-12-31
11511550,1,TruMoo,2017-01-01,2018-12-31
11511550,2,less sugar,2017-01-01,2018-12-31
11511600,1,NS as to type of milk,2017-01-01,2018-12-31
11511600,2,"regular, reduced, or less sugar",2017-01-01,2018-12-31
11511600,3,1% fat,2017-01-01,2018-12-31
11511610,1,"regular, reduced, or less sugar",2017-01-01,2018-12-31
11511610,2,skim,2017-01-01,2018-12-31
11511700,1,NS as to type of milk,2017-01-01,2018-12-31
11511700,2,1% fat,2017-01-01,2018-12-31
11512010,1,"whole, 2%, or reduced fat milk",2017-01-01,2018-12-31
11512010,2,NS as to milk,2017-01-01,2018-12-31
11512010,3,evaporated milk,2017-01-01,2018-12-31
11512010,4,chocolate espanol,2017-01-01,2018-12-31
11512010,5,chocolate caliente,2017-01-01,2018-12-31
11512010,6,McDonald's,2017-01-01,2018-12-31
11512010,7,Starbucks,2017-01-01,2018-12-31
11512010,8,Dunkin Donuts,2017-01-01,2018-12-31
11512010,9,"made from syrup, tablet, or bar",2017-01-01,2018-12-31
11512020,1,"low fat, fat free, skim, or 1% milk",2017-01-01,2018-12-31
11512020,2,chocolate espanol,2017-01-01,2018-12-31
11512020,3,chocolate caliente,2017-01-01,2018-12-31
11512020,4,Starbucks,2017-01-01,2018-12-31
11512020,5,"made from syrup, tablet, or bar",2017-01-01,2018-12-31
11512030,1,"almond, coconut, rice, or soy milk",2017-01-01,2018-12-31
11512030,2,chocolate espanol,2017-01-01,2018-12-31
11512030,3,chocolate caliente,2017-01-01,2018-12-31
11512030,4,Starbucks,2017-01-01,2018-12-31
11512030,5,"made from syrup, tablet, or bar",2017-01-01,2018-12-31
11512100,1,"whole, 2%, or reduced fat milk",2017-01-01,2018-12-31
11512100,2,NS as to milk,2017-01-01,2018-12-31
11512100,3,evaporated milk,2017-01-01,2018-12-31
11512100,4,McDonald's,2017-01-01,2018-12-31
11512100,5,Starbucks,2017-01-01,2018-12-31
11512100,6,Dunkin Donuts,2017-01-01,2018-12-31
11512100,7,"made from syrup, tablet, or bar",2017-01-01,2018-12-31
11512110,1,"low fat, fat free, skim, or 1% milk",2017-01-01,2018-12-31
11512110,2,Starbucks,2017-01-01,2018-12-31
11512110,3,"made from syrup, tablet, or bar",2017-01-01,2018-12-31
11512120,1,"almond, coconut, rice, or soy milk",2017-01-01,2018-12-31
11512120,2,Starbucks,2017-01-01,2018-12-31
11512120,3,"made from syrup, tablet, or bar",2017-01-01,2018-12-31
11513150,4,2% fat,2017-01-01,2018-12-31
11513200,4,1% fat,2017-01-01,2018-12-31
11513300,3,nonfat milk,2017-01-01,2018-12-31
11513300,4,skim milk,2017-01-01,2018-12-31
11513310,1,"almond, coconut, rice, or soy milk",2017-01-01,2018-12-31
11513350,2,"less sugar, sugar free, or fat free mix",2017-01-01,2018-12-31
11513355,2,"less sugar, sugar free, or fat free mix",2017-01-01,2018-12-31
11513360,3,"less sugar, sugar free, or fat free mix",2017-01-01,2018-12-31
11513360,4,2% fat,2017-01-01,2018-12-31
11513365,3,"less sugar, sugar free, or fat free mix",2017-01-01,2018-12-31
11513365,4,1% fat,2017-01-01,2018-12-31
11513370,3,"less sugar, sugar free, or fat free mix",2017-01-01,2018-12-31
11513370,4,nonfat milk,2017-01-01,2018-12-31
11513370,5,skim,2017-01-01,2018-12-31
11513375,1,"almond, coconut, rice, or soy milk",2017-01-01,2018-12-31
11513380,1,"regular, reduced, or less sugar",2017-01-01,2018-12-31
11513380,2,25% less sugar,2017-01-01,2018-12-31
11513381,1,"regular, reduced, or less sugar",2017-01-01,2018-12-31
11513381,2,25% less sugar,2017-01-01,2018-12-31
11513382,1,"regular, reduced, or less sugar",2017-01-01,2018-12-31
11513382,2,25% less sugar,2017-01-01,2018-12-31
11513382,3,2% fat,2017-01-01,2018-12-31
11513383,1,"regular, reduced, or less sugar",2017-01-01,2018-12-31
11513383,2,25% less sugar,2017-01-01,2018-12-31
11513383,3,1% fat,2017-01-01,2018-12-31
